Month,AC System Output(kWh),Solar Radiation (kWh/m^2/day),Plane of Array Irradiance (W/m^2),DC array Output (kWh),Value ($)
1,474.4326171875,4.563901424407959,141.48094177246094,497.9421081542969,70.6904599609375
2,484.3903503417969,5.198971271514893,145.57119750976562,511.1524963378906,72.17416220092773
3,595.7704467773438,5.9608917236328125,184.7876434326172,634.3223266601562,88.76979656982421
4,592.0599365234375,6.051712512969971,181.55137634277344,623.7313842773438,88.21693054199218
5,591.2662353515625,6.0138092041015625,186.42808532714844,617.8812866210938,88.09866906738282
6,589.3538208007812,6.350442886352539,190.51329040527344,615.4278564453125,87.8137192993164
7,583.2352905273438,6.088708877563477,188.74996948242188,609.3965454101562,86.90205828857421
8,586.4593505859375,6.146445274353027,190.53981018066406,612.7506713867188,87.38244323730468
9,584.8131713867188,6.274043560028076,188.2213134765625,610.5584106445312,87.13716253662109
10,561.72314453125,5.659497261047363,175.4444122314453,588.6157836914062,83.69674853515625
11,486.12603759765625,4.877234935760498,146.31704711914062,508.07476806640625,72.43277960205077
12,445.68817138671875,4.230865478515625,131.15682983398438,465.4272155761719,66.40753753662109